"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"16-hydroxypalmitate",-0.0067808,-0.01062,-0.072147,0.062965,0.033353,0.038237,0.00058293,0.0028522,0.024494,-0.010468,-0.015132,0.034705
"UDP-N-acetylglucosamine/galactosamine",-0.0078577,0.015562,0.00063078,-0.0063334,-0.0099867,-0.0026545,-0.0033227,-0.0047667,-0.0034727,-0.00047666,0.0041481,-0.0021068
"oleoyl-linoleoyl-glycerol (18:1/18:2) [1]",-0.013174,-0.0052741,0.020694,0.0061296,-0.00069815,0.0040131,0.018672,0.01885,-0.0068583,-0.039792,0.031311,0.0015826
"oleoyl-linoleoyl-glycerol (18:1/18:2) [2]",-0.020339,0.007882,0.0057602,0.020063,-0.0090973,-0.0019301,0.021516,-0.010577,-0.020366,-0.011357,0.040993,-0.0072068
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*",0.054125,-0.01949,-0.0046078,-0.028355,-0.0066367,-0.020957,0.014221,0.0079829,-0.0033723,0.0081774,0.0094148,0.0013562
"1-(1-enyl-stearoyl)-GPE (P-18:0)*",0.044747,-0.021813,-0.016284,-0.023787,-0.0089262,-0.027362,0.0087287,0.019044,-5.1647e-07,0.024485,0.010881,0.00028292
"2-palmitoleoyl-GPI (16:1)*",0.012881,-0.007682,-0.021,0.018372,0.016668,-0.017261,-0.026342,-0.046706,0.0029394,-0.033152,-0.02163,0.0072491
"2-stearoyl-GPI (18:0)*",0.043487,-0.041883,-0.015193,-0.018993,0.027593,-0.026817,-0.036011,-0.015933,0.045236,-0.0094959,0.013209,-0.0017357
"N-oleoyltaurine",0.0103,-0.038617,-0.016369,0.030525,0.02882,-0.013017,-0.043188,-0.014092,0.01862,-0.022001,0.013292,0.0047294
"linoleoylcarnitine (C18:2)*",0.005429,-0.027322,0.0098682,-0.01102,0.069113,0.022396,-0.025496,0.022896,-0.021934,-0.016299,0.0072586,0.005417
"isoleucylglycine",0.021895,-0.0066289,-0.023957,-0.034646,-0.035887,-0.041411,0.011121,-0.012019,0.017374,0.057694,0.017225,0.0025377
"leucylalanine",-0.043415,0.055171,-0.042108,-0.0076293,-0.036542,-0.044551,-0.05044,0.005428,-0.024377,0.0043872,-0.014166,-0.002259
"leucylglutamine*",0.005616,-0.0033977,-0.010066,0.021227,-0.017922,-0.011583,0.0070791,0.023596,0.018586,0.092642,-0.0080242,-0.00019051
"leucylglycine",0.015832,0.0073008,-0.017986,0.021285,-0.039265,-0.034981,0.0028738,-0.036073,-0.011591,0.0084219,-0.0045219,-0.0043651
"valylleucine",0.0041932,0.0085624,-0.027368,0.028715,-0.043346,-0.024223,0.038704,-0.047801,-0.045698,0.038939,0.0030619,-0.012301
"N-palmitoyltaurine",0.0058034,-0.012757,-0.018881,0.02939,0.013867,-0.015657,-0.036093,-0.042459,0.036841,-0.034441,-0.014243,-0.00088363
"N-stearoyltaurine",0.0096219,-0.037185,-0.017386,0.035284,0.028984,-0.010921,-0.054764,-0.029015,0.0092873,-0.005355,0.015927,0.017257
"2-O-methylascorbic acid",0.016669,-0.028549,0.0062872,0.0078886,0.0016629,-0.011036,-0.02344,0.026871,-0.014444,0.0094301,0.010195,0.0067656
"carboxyethyl-GABA",-0.0077601,-0.0045582,0.029912,0.016249,0.046553,-0.0151,-0.04176,0.014412,0.0090474,0.021045,0.02207,0.027384
"trimethylamine N-oxide",0.018276,0.0077617,0.049105,-0.021414,0.042031,-0.013652,0.080645,-0.014933,-0.047144,-0.041747,-0.065949,-0.01645
"N6-methyllysine",0.015903,0.12782,-0.017355,-0.12944,-0.017728,-0.019961,0.069111,0.044036,0.16439,-0.095436,-0.033879,-0.01733
"imidazole propionate",-0.0094891,-0.014396,0.043307,-0.020102,0.068572,-0.062605,-0.016399,0.1496,-0.027134,0.058154,-0.05972,0.0086007
"phenylalanylglycine",0.031632,0.020468,-0.023929,0.013879,-0.040706,-0.0029314,0.025902,-0.028701,-0.0098375,0.0094625,-0.017127,-0.0029039
"phenylalanylalanine",0.033144,0.018949,-0.032967,-8.6441e-05,-0.034878,-0.023675,0.023266,-0.0088497,-0.042182,0.0036984,-0.035937,0.0032072
"tyrosylglycine",0.0053824,0.0068362,-0.0076627,0.0009255,-0.0068939,-0.017992,0.0069849,-0.011625,0.01705,0.031529,0.021621,-0.0010491
"aspartylaspartate",-0.027224,-0.011233,-0.059135,0.045045,-0.03074,0.026802,0.01754,0.079567,0.0080341,-0.019452,-0.026709,0.017858
"valylglutamine",-0.021186,0.010321,0.025493,0.035892,-0.041043,-0.00252,-0.014679,-0.023614,0.013303,0.030653,0.018168,-0.013801
"valylglycine",0.030265,-0.0031698,-0.019635,0.028148,0.0023326,-0.04058,-0.0060962,-0.068088,0.0083954,0.018389,0.022375,-0.0042007
"prolylalanine",0.0083075,-0.025227,0.030021,-0.029957,0.010465,-0.0042402,-0.005323,0.020617,0.023609,0.036407,0.032101,0.010361
"prolylglycine",0.013868,-0.022153,0.013149,-0.020886,0.010963,-0.01031,0.00030696,0.015838,0.0071188,0.019557,0.025001,0.0084954
"prolylproline",0.0018112,-0.024959,0.025942,-0.0034606,0.0032607,-0.029219,0.0037594,0.016232,-0.021779,0.020287,0.0053092,0.0043359
"mannonate*",0.013446,0.00088318,0.0057085,-0.014661,0.0028689,-0.031506,0.0021717,0.015801,0.0083458,-0.01243,-0.0074175,0.00035245
"taurohyodeoxycholic acid",-0.0036386,-0.025689,0.06568,0.0057004,-0.12594,-0.025134,-0.058509,-0.036626,-0.0068356,-0.038803,0.0092294,0.041734
"2-stearoyl-GPE (18:0)*",0.072389,-0.025209,-0.0014675,-0.0030142,0.035811,-0.023115,0.036634,-0.039147,-0.0014443,-0.024224,0.0095173,-0.0051304
"(R)-3-hydroxybutyrylcarnitine",0.0039629,-0.016714,0.014917,-0.0019279,-0.0094976,0.0071053,-0.016571,-0.034679,-0.0084344,0.020654,0.033724,-0.0044003
"margaroylcarnitine (C17)*",-0.042946,-0.037897,0.036207,-0.0022494,0.053235,-0.010649,-0.0039735,-0.029814,-0.019683,0.044724,0.021641,-0.01362
"2-hydroxydecanoate",0.028454,-0.016757,-0.02545,0.0609,0.033492,0.057907,0.050303,-0.05907,0.005853,0.015086,0.0023737,2.4712e-05
"4-methylcatechol sulfate",0.054561,0.068669,0.056471,-0.060378,0.011711,0.047613,-0.071716,-0.018541,0.0022769,-0.0080831,-0.057893,0.011874
"2-aminooctanoate",0.027488,-0.0076359,0.025781,0.011066,0.029738,0.028764,-0.063288,0.011326,0.0062595,0.050635,0.0017092,0.0016047
"o-tyrosine",0.016207,0.0040286,0.017695,0.0013496,0.0092517,-0.018277,0.014354,0.024206,-0.0052682,0.0091857,-0.081636,-0.00085005
"1-stearoyl-GPS (18:0)*",0.051443,-0.080089,0.0035576,-0.013157,-0.059777,0.11631,-0.041301,0.11251,0.081648,0.058141,0.066124,0.0031854
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",-0.0039077,0.0097819,-0.015522,0.0026292,-0.023678,0.012746,-0.039112,0.0033319,0.0015027,0.018651,-0.01955,-8.9189e-06
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0.0038033,0.011841,-2.2358e-05,-0.0086227,-0.012132,0.013656,-0.015534,-0.0016015,0.011364,0.0065456,-0.016064,0.0019923
"3-hydroxyadipate",-0.016877,0.012462,0.044639,-0.026467,0.060984,0.069212,-0.0033252,-0.011718,0.10384,-0.046287,-0.080885,-0.0024615
"N-monomethylarginine",0.003144,8.103e-06,0.062699,-0.018373,0.0098117,-0.0019303,-0.044812,0.035479,0.062384,0.018908,-0.042878,0.0023514
"2-aminoheptanoate",0.0099705,0.0050977,0.074601,-0.046949,0.1039,0.034423,-0.011266,0.065395,0.025092,0.038304,-0.048678,0.010899
"benzoylcarnitine*",-0.0037494,-0.0084775,0.0016124,-0.0044572,-0.0040351,-0.0088178,-0.0011332,-0.03147,-0.0069309,0.020525,-0.038312,0.020096
"1-linoleoyl-GPS (18:2)*",0.01661,-0.0081017,-0.010204,-0.006955,0.0013461,0.052923,-0.037343,0.025619,-0.063438,-0.0052959,0.022157,0.0049264
"docosahexaenoyl ethanolamide",0.016594,-0.010049,-0.016418,-0.035129,-0.024857,-0.029691,0.012846,-0.0087316,0.0059698,-0.022601,0.02886,-0.0077034
"methionine sulfone",-0.0050768,-0.010655,-0.038883,0.051483,-0.0064478,0.078885,-0.018539,0.059458,-0.034921,0.013548,-0.01687,0.034913
"1-linolenoyl-GPC (18:3)*",0.036761,0.0037782,-0.0075404,0.0045718,0.016061,0.017668,-0.00408,-0.0066318,-0.014406,0.016005,0.012752,0.0021562
"1-eicosapentaenoyl-GPC (20:5)*",0.047266,0.026565,0.0073927,0.032704,-0.0077548,0.033681,-0.013011,0.028096,0.015055,-0.011084,-0.038003,0.046731
"1-eicosenoyl-GPC (20:1)*",0.034817,-0.020619,0.020535,-0.0055654,-0.010374,0.0050198,0.005702,0.030593,-0.011241,0.062015,-0.030115,0.01172
"1-nonadecanoyl-GPC (19:0)",0.030992,-0.0049364,0.0074485,0.046973,-0.019945,0.033666,-0.04041,0.054269,0.02036,0.033839,0.04078,-0.010802
"1-dihomo-linolenoyl-GPE (20:3n3 or 6)*",0.057443,-0.03866,-0.018042,0.04385,0.022342,-0.0071986,-0.020561,-0.00091902,-0.029751,-0.035552,-0.0069017,0.0030464
"1-(1-enyl-oleoyl)-GPE (P-18:1)*",0.063208,-0.028778,0.0077143,-0.038069,0.0090669,-0.01533,0.0094486,-0.00093124,0.0015983,0.0063665,0.024506,-0.00035933
"fructosyllysine",0.018729,0.022635,-0.003423,0.013905,-0.0065463,-0.0065245,-0.01503,0.016498,-0.047109,0.017037,0.00061025,0.0074411
"1-eicosenoyl-GPE (20:1)*",0.068072,-0.053685,-0.018975,0.013533,-0.0029375,0.001886,-0.051355,-0.023157,0.050415,-0.039475,0.009635,-0.0066651
"O-sulfo-tyrosine",0.033689,0.028158,0.017867,0.0037492,-0.0041489,-0.0024816,-0.010916,0.021778,-0.01162,-0.01525,0.0085099,0.0022814
"N-acetylmethionine sulfoxide",0.060662,-0.0080229,0.010973,0.0035856,0.0092605,-0.01561,0.021196,-0.0094722,-0.0010068,0.0082414,-0.010841,0.003972
"N-acetyltaurine",0.011955,-0.013326,0.0030569,-0.019762,0.0060335,-0.00037493,0.0028433,0.0058354,0.012068,-0.014261,0.042249,-0.00085296
"1-oleoyl-GPG (18:1)*",0.03405,-0.032904,-0.01675,0.0026913,0.032698,-0.0071136,-0.025022,-0.016675,0.0094804,-0.032317,-0.005614,-0.0095377
"1-palmitoyl-GPG (16:0)*",0.073135,-0.038818,-0.016691,-0.016636,0.021282,-0.031283,-0.019638,-0.020621,0.009538,-0.028659,5.257e-05,0.016869
"N-linoleoyltaurine*",0.007543,-0.026405,-0.01694,0.02766,0.020184,-0.0048835,-0.048239,-0.00056311,0.0041873,-0.025652,0.0035304,-0.0038147
"N-arachidonoyltaurine",0.0068706,-0.026328,0.0019909,-0.0013063,0.0238,-0.0027001,-0.042,-0.00040876,0.021542,-0.011377,-0.0243,-0.0064524
"N-myristoyltaurine*",-0.0030484,-0.029921,-0.027261,0.02655,0.017879,0.00075362,-0.05717,-0.0064687,0.031717,0.0099186,-0.044183,0.0045283
"N-palmitoleoyltaurine*",-0.011172,-0.025205,0.0037277,0.034375,0.020192,0.0017634,-0.034574,-0.007536,0.044407,-0.033385,0.011483,-0.0070759
"methyl glucopyranoside (alpha + beta)",0.0079352,0.078978,-0.0095202,0.038305,-0.022148,0.019708,-0.011166,-0.016456,-0.0017464,-0.0020299,0.053914,0.002991
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.0087766,0.0096479,0.032141,0.0064731,0.0021822,0.027208,-0.0031732,-0.0069667,0.011288,0.003539,-0.0099041,-0.00017817
"myristoleoylcarnitine (C14:1)*",-0.083842,-0.0381,0.01647,0.013685,0.078033,0.042438,-0.017533,0.0082692,-0.0045962,-0.0085693,-0.0018736,0.007515
"arabonate/xylonate",0.018625,-0.006195,0.0088049,-0.017912,0.015074,-0.0015873,0.014133,0.032237,0.011469,0.00019122,0.0073139,0.0045033
"1-dihomo-linolenylglycerol (20:3)",-0.028779,-0.028211,-0.011524,0.00018714,-0.0074671,-0.0077591,-0.048064,0.021736,0.065185,-0.023257,0.004184,0.0015985
"ribulose/xylulose",0.10343,-0.08315,-0.0088624,-0.020493,0.042742,-0.059822,0.016918,-0.02328,-0.034885,-0.0017059,0.002699,-0.0016756
"p-cresol glucuronide*",0.02251,0.038279,0.076874,-0.030483,-0.051262,0.028202,-0.022526,0.085989,-0.040899,-0.12692,0.13462,-0.017884
"4-hydroxy-nonenal-glutathione",-0.00098537,0.0068409,0.00017308,-0.0066105,0.0036393,0.010421,-0.0074157,-0.0032602,0.010717,0.0054415,0.013501,-0.0014035
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",-0.0058498,0.0047956,-0.0019713,-0.00808,-0.0020234,0.0084638,-0.0037689,-0.00053813,0.0021638,0.0073069,-0.002238,0.0036572
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",-0.0081506,0.0014473,-0.0054191,-0.010113,0.0011219,0.00025462,-0.0039678,-0.0071135,-0.0044362,0.0035489,-0.024491,0.0044749
"behenoyl sphingomyelin (d18:1/22:0)*",0.004911,0.0063124,0.015144,0.0033563,0.0028096,0.012147,-0.0030766,0.0033257,0.0028161,0.011964,-0.0014303,-0.0062426
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",0.016045,-0.010142,0.12481,-0.051796,0.00069541,0.084814,0.035479,-0.070856,-0.19175,0.16254,0.096353,-0.017313
"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*",0.0063158,-0.01074,0.010129,0.001962,-0.0021236,0.022364,-0.029776,0.019399,0.0093181,0.021461,0.0090219,0.0067006
"lignoceroyl sphingomyelin (d18:1/24:0)",0.0064378,0.011818,0.026179,0.0012828,0.012236,0.02578,-0.041071,-0.012464,0.01947,0.037681,0.006186,0.014698
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*",0.0022631,-0.0025708,-0.031634,0.027559,-0.018133,-0.011359,-0.039306,0.016484,-0.015538,0.025793,-0.0011448,0.0034423
"2-docosahexaenoylglycerol (22:6)*",-0.042277,-0.0039124,-0.011587,-0.0073822,0.0031794,-0.030381,-0.017712,-0.077775,0.077857,-0.016253,-0.016369,-0.0047674
"3-hydroxyhexanoate",-0.0062206,-0.0025688,0.015541,0.027576,0.038109,-0.020933,0.00016922,0.00048822,0.029574,-0.00052722,0.025356,-0.0051388
"C-glycosyltryptophan",0.0011121,-0.0024147,0.012177,0.01136,-0.0058742,0.018817,-0.018214,0.0075552,0.012575,-0.0016233,-0.014692,0.0029304
"arabitol/xylitol",0.030569,-0.037362,0.0065936,0.016267,-0.0056961,-0.015018,-0.006944,0.0030722,-0.023887,0.07191,0.04659,0.0090368
"N-acetylglucosamine/N-acetylgalactosamine",0.037762,0.011476,-0.078166,-0.059091,0.026704,0.066687,0.013172,-0.0040317,-0.0018783,-0.023665,-0.0027534,-0.013927
"linoleoyl ethanolamide",0.031513,-0.028982,-0.047919,-0.034169,-0.0073666,-0.039403,-0.068545,-0.0088991,0.039448,-0.038758,0.00075062,0.009143
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.013469,0.0017775,-0.028792,0.035726,-0.039825,0.016713,-0.0070904,0.040774,-0.047318,-8.2403e-05,0.027225,-0.016258
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)",0.0016401,-0.014149,-0.029851,0.037802,-0.0042476,0.013001,0.0099831,-0.0073956,-0.02802,-0.0023414,-0.026329,0.0051947
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)",0.0015648,0.0037389,-0.0068687,0.0030662,-0.0026743,0.003271,-0.0028975,-0.00037765,0.005294,-0.0020272,0.00045397,-0.0049841
"1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)",-0.0052005,0.0018198,0.0065056,-0.017876,0.010104,-0.00094636,0.0093753,-0.017068,0.013976,-0.0072029,-0.0022258,0.0028408
"1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)",-0.00056873,0.0027933,0.013719,-0.014082,0.014761,-0.013923,0.018517,-0.02052,0.0066725,-0.0094371,0.00082202,0.0012036
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",-0.0069832,-0.0039041,-0.012436,0.0048733,-0.0014949,-0.0054426,-0.020999,0.00037053,-0.003326,0.012399,-0.0079793,-0.0054593
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)",-0.0022687,0.0092417,0.0048058,-0.014087,-0.0016179,-0.00050993,-0.0011359,-0.0038685,0.0028377,-0.0050942,0.01054,0.001266
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.032826,0.0014416,0.09441,0.0033837,0.026192,0.044313,-0.023003,0.0057395,0.019974,0.0025625,-0.0099013,0.036508
"2-methylcitrate/homocitrate",-0.011126,-0.00020605,-0.011374,0.017051,-0.0087663,0.001994,-0.0075948,0.00262,0.005078,0.0064883,-0.0091689,0.00017133
"oleate/vaccenate (18:1)",0.037697,-0.037456,-0.021721,0.021451,0.014239,-0.015835,-0.012774,-0.027623,0.0019058,-0.046924,-0.0020395,0.0064997
"3-hydroxystearate",-0.0074885,-0.028792,-0.067975,0.051631,0.064011,0.0049844,0.0017336,-0.015886,0.044857,0.010128,0.020677,-0.013034
"4-HDoHE",0.046323,-0.0030697,-0.0013623,-0.023834,0.0013558,0.0084417,-0.0086631,-0.0019028,0.0090054,0.0089994,-0.0016664,-0.022559
"1-palmitoleoylglycerol (16:1)*",-0.041489,-0.030945,-0.027165,0.015151,0.0026056,-0.0067388,-0.077535,0.0074396,0.074136,-0.040298,0.038377,0.0083254
"2-palmitoleoylglycerol (16:1)*",-0.019862,-0.00083572,-0.017311,0.032721,0.023126,-0.02904,0.0027443,-0.049818,-0.024454,-0.060721,0.020421,0.0018685
"palmitoyl dihydrosphingomyelin (d18:0/16:0)*",0.0071093,0.0065506,-0.011978,0.0061994,-0.008785,0.010532,0.014671,-0.00077034,-0.013153,0.0084163,-0.0012407,-0.0020733
"tricosanoyl sphingomyelin (d18:1/23:0)*",0.0035169,0.008935,0.025449,0.0070894,0.0061129,0.01914,-0.011957,0.0082023,0.01589,0.031613,0.0086943,0.0061863
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",0.0095383,0.0062382,0.013779,0.027602,-0.0090219,0.015451,-0.0078932,-0.01669,-0.0069785,0.029503,0.012738,-0.0070979
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",0.011152,0.013865,0.033857,0.0013713,-0.00056629,0.020539,0.0042429,-0.0014123,0.0069009,-0.0045928,-0.016816,0.003426
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*",0.016732,-0.0028902,-0.018908,0.033818,-0.033152,0.0058998,0.004559,0.034865,-0.035629,0.0099954,0.0022899,-0.0053729
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)",0.0064662,0.0012712,-0.0086844,0.014094,-0.004563,0.013308,-0.0065941,0.015809,-0.001205,-0.0017386,0.0041943,-0.0081057
"1-oleoyl-2-linoleoyl-GPI (18:1/18:2)*",-0.032585,6.8706e-05,-0.040814,-0.092914,-0.051937,0.00018144,-0.12219,-0.00024467,0.0097604,-0.028802,-0.013462,0.017981
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*",0.013101,0.0025373,-0.015116,0.029417,-0.028119,0.010849,-0.0097258,0.02204,-0.026276,0.0057333,-0.0037613,-0.004738
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*",0.009783,-0.004857,-0.019569,0.030489,-0.031493,0.021511,-0.0063275,0.017197,-0.031573,-0.0023289,0.00077515,0.0013969
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*",-0.0024305,0.0066595,0.0024931,-0.0063879,-0.013413,0.0156,-0.00087128,0.00048726,0.0014976,-0.0053054,0.0033837,0.002089
"1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*",0.0072669,0.019268,-0.015346,-0.0060707,-0.022262,0.029667,-0.022609,0.029609,0.0040292,-0.004993,0.0059623,0.025445
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*",0.0090099,-0.003335,-0.013588,0.027261,-0.019524,0.0091095,-0.014231,0.024381,-0.0038339,0.0052001,-0.0055322,-0.00066588
"1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*",-0.00044318,0.004011,0.0057271,-0.013316,0.0084055,0.0005092,0.026968,-0.012978,0.0094397,-0.0076004,-0.0021032,-0.0039426
"1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*",0.0057873,0.0026107,0.0051672,-0.012153,0.013217,-0.012041,0.024783,-0.0088016,0.0047834,-0.0075324,0.0014045,0.0046135
"1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*",-0.013764,0.017286,-0.0062343,-0.037937,-0.0033728,0.0095295,-0.0057919,4.527e-05,-0.010321,-0.025354,-0.042522,-0.00070594
"1-stearoyl-2-linoleoyl-GPI (18:0/18:2)",-0.0036085,0.0091871,0.0052042,-0.00052926,0.0019567,-0.0017637,-0.00035955,0.0058885,-0.0084128,-0.026902,-0.042435,-0.00012261
"1-palmitoyl-2-palmitoleoyl-GPE (16:0/16:1)*",0.010528,2.8681e-05,-0.012279,-0.016089,-0.0098065,-0.0064676,0.016378,0.030128,-0.0039889,0.033489,0.035918,-0.0015014
"gamma-tocopherol/beta-tocopherol",-0.019824,0.005487,-0.019403,-0.040907,-0.025439,0.025317,0.0015767,-0.08688,0.016581,-0.04746,-0.042776,-0.014648
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",-0.0029022,0.0071482,-0.022573,0.0097079,-0.015218,-0.0016726,-0.011034,0.024996,-0.004146,0.021708,-0.016241,0.0058213
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*",0.0020635,-0.0015468,0.005089,-0.011981,0.0078629,-0.015674,0.015075,-0.0068002,-0.0085601,-0.00023609,-0.0044612,0.00098929
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*",0.001624,0.0030049,-0.0023198,0.0065468,0.001414,0.0095082,-0.0035723,0.012804,-0.016794,0.011713,-0.0052596,0.0034117
"1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)*",-0.0042848,0.0016627,-0.0040518,-0.018001,0.00048441,-0.0091811,0.01323,0.0024608,-0.0012098,0.0038879,-0.007646,0.00091925
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*",0.0068143,-0.0059814,0.023188,0.01909,0.010743,0.012428,0.033251,0.010638,-0.03173,0.00087342,0.0038631,-0.0090521
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*",-0.011316,-0.035062,-0.010767,0.024507,0.047679,0.034429,0.036562,-0.032098,-0.022666,-0.047838,-0.020253,-0.0028731
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6)*",-0.0039758,0.0033818,0.023302,-0.039826,0.012788,-0.0087191,0.011747,-0.0082323,0.0089358,-0.016668,0.012095,0.0073038
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*",0.016892,0.00042152,0.01545,0.016153,-0.020443,0.019405,-0.011687,0.016633,-0.05304,0.011438,0.01804,-0.00044104
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",-0.0024443,0.0062454,-0.0010222,-0.012643,-0.0018181,0.0038405,-0.015923,0.0079958,0.0093653,0.014291,0.011364,0.0037269
"1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6)*",-0.0094881,0.0070675,0.014129,-0.037854,0.017217,-0.0051947,0.017021,0.0015052,-0.0024571,-0.013078,0.019507,-0.007501
"1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)*",-0.022413,0.020191,-0.05562,-0.00695,-0.093438,0.018278,-0.037006,0.052645,-0.044724,0.0066382,-0.16839,0.017584
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",-0.0027289,-0.009016,0.0025017,0.014207,-0.006216,0.012671,-0.016708,0.0057513,-0.0031949,0.022468,0.016754,-0.011822
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",0.0069332,0.0026565,-0.0046426,0.0103,-0.012945,0.0056793,0.0097835,0.010787,-0.0022805,0.014298,-0.0025439,0.00035441
"N-palmitoyl-sphinganine (d18:0/16:0)",0.036258,0.0051423,-0.029819,0.024921,-0.0018173,-0.00018077,0.026305,-0.028773,-0.00053453,0.017266,0.026061,-0.014909
"1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)*",0.0086575,-0.00035983,-0.020396,0.016714,-0.036717,0.0142,-0.017677,0.025988,-0.0085567,0.017037,0.0041178,0.0083358
"1-margaroyl-2-oleoyl-GPC (17:0/18:1)*",-0.0031988,-0.0064203,-0.027168,0.018628,-0.014928,-0.0023818,0.0066963,0.0035838,-0.018846,-0.011981,-0.010544,-0.00074484
"1-margaroyl-2-linoleoyl-GPC (17:0/18:2)*",0.010321,0.0035193,-0.025392,0.033413,-0.039948,0.019839,-0.012489,0.017031,-0.028323,0.010417,0.0061312,-0.005797
"1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*",0.031911,-0.0042069,-0.013313,0.043083,-0.061622,0.029086,-0.027529,0.048363,-0.01787,0.00045254,-0.030711,0.0039091
"palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*",-0.00023717,0.0090176,0.02107,0.010733,-0.034367,0.031838,0.08371,0.020456,0.02364,-0.0071767,-0.026084,-0.0052722
"palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*",-0.018268,0.012585,-0.00062693,0.031597,-0.015034,0.015923,0.028586,-0.010586,-0.0029685,0.0037898,0.021122,-0.0024502
"1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*",-0.019335,0.00082698,0.015383,-0.013466,0.012507,-0.0010109,-0.011063,0.016519,0.019011,-0.0083377,-0.0065547,0.0016896
"1-stearoyl-2-docosahexaenoyl-GPI (18:0/22:6)*",-0.011103,-0.009423,0.012649,-0.055285,0.029641,-0.015399,0.024938,-0.030147,0.022428,-0.039725,-0.024707,0.007817
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*",0.0087599,-0.0073711,0.013685,0.016448,-0.016148,0.013329,0.0080126,0.019868,0.0008619,0.009616,-0.024881,0.0011236
"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*",0.0028216,0.0069414,-0.007187,0.0031978,-0.02954,0.017663,-0.0014888,0.019858,-0.017232,-0.0023064,0.017557,0.003565
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*",0.015758,-0.0012932,-0.025113,0.034422,-0.033037,0.016597,-0.00088741,0.028825,-0.056967,-0.0033117,0.016185,-0.0019872
"1-stearoyl-2-linoleoyl-GPG (18:0/18:2)*",-0.026859,0.00085503,0.014431,-0.0043055,0.00041775,0.0066626,0.015146,-0.033847,0.046371,-0.040134,-0.037729,0.0044348
"1-oleoyl-2-linoleoyl-GPG (18:1/18:2)*",-0.0081422,-0.0062651,-0.013228,0.0026697,-0.0054124,-0.0074236,-0.015846,0.015784,-0.016976,-0.0081798,0.01066,0.0022192
"1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)*",0.0013513,0.0081111,-0.013212,-0.010696,-0.020597,0.025369,-0.01992,0.015684,0.015414,0.04119,0.015039,0.0016434
